Valor do sinal,Temperatura,Umidade,Data,Hora
-0.140625,27.4°C,69%,2024-04-04,17:36:46
-0.08984375,27.4°C,69%,2024-04-04,17:37:02
-0.18359375,27.4°C,69%,2024-04-04,17:37:18
-0.19140625,27.4°C,69%,2024-04-04,17:37:35
-0.060546875,27.4°C,69%,2024-04-04,17:37:51
-0.0390625,27.4°C,69%,2024-04-04,17:38:07
-0.162109375,27.4°C,69%,2024-04-04,17:38:23
-0.134765625,27.4°C,69%,2024-04-04,17:38:40
-0.01953125,27.4°C,69%,2024-04-04,17:38:56
-0.0546875,27.4°C,69%,2024-04-04,17:39:12
-0.150390625,27.4°C,69%,2024-04-04,17:39:28
-0.115234375,27.4°C,69%,2024-04-04,17:39:45
-0.033203125,27.4°C,69%,2024-04-04,17:40:01
-0.064453125,27.4°C,69%,2024-04-04,17:40:17
-0.150390625,27.4°C,69%,2024-04-04,17:40:33
-0.103515625,27.4°C,69%,2024-04-04,17:40:50
0.0,27.4°C,69%,2024-04-04,17:41:06
-0.076171875,27.4°C,69%,2024-04-04,17:41:22
-0.1328125,27.4°C,69%,2024-04-04,17:41:38
-0.068359375,27.4°C,69%,2024-04-04,17:41:55
0.01171875,27.4°C,69%,2024-04-04,17:42:11
-0.046875,27.4°C,69%,2024-04-04,17:42:27
-0.087890625,27.4°C,69%,2024-04-04,17:42:43
0.00390625,27.4°C,69%,2024-04-04,17:42:59
0.046875,27.4°C,69%,2024-04-04,17:43:16
-0.064453125,27.4°C,69%,2024-04-04,17:43:32
-0.0703125,27.4°C,69%,2024-04-04,17:43:48
0.015625,27.4°C,69%,2024-04-04,17:44:04
0.041015625,27.4°C,69%,2024-04-04,17:44:21
-0.064453125,27.4°C,69%,2024-04-04,17:44:37
-0.05859375,27.4°C,69%,2024-04-04,17:44:53
0.046875,27.4°C,69%,2024-04-04,17:45:09
0.025390625,27.4°C,69%,2024-04-04,17:45:26
-0.0859375,27.4°C,69%,2024-04-04,17:45:42
-0.037109375,27.4°C,69%,2024-04-04,17:45:58
0.04296875,27.4°C,69%,2024-04-04,17:46:15
-0.017578125,27.4°C,69%,2024-04-04,17:46:31
-0.107421875,27.4°C,69%,2024-04-04,17:46:47
-0.06640625,27.4°C,69%,2024-04-04,17:47:03
0.029296875,27.4°C,69%,2024-04-04,17:47:19
-0.0546875,27.4°C,69%,2024-04-04,17:47:35
-0.08984375,27.4°C,69%,2024-04-04,17:47:52
-0.029296875,27.4°C,69%,2024-04-04,17:48:08
0.03125,27.4°C,69%,2024-04-04,17:48:24
-0.083984375,27.4°C,69%,2024-04-04,17:48:40
-0.109375,27.4°C,69%,2024-04-04,17:48:57
-0.05078125,27.4°C,69%,2024-04-04,17:49:13
-0.01953125,27.4°C,69%,2024-04-04,17:49:29
-0.16015625,27.4°C,69%,2024-04-04,17:49:45
-0.19140625,27.4°C,69%,2024-04-04,17:50:02
-0.1015625,27.4°C,69%,2024-04-04,17:50:18
-0.06640625,27.4°C,69%,2024-04-04,17:50:34
-0.166015625,27.4°C,69%,2024-04-04,17:50:50
-0.146484375,27.4°C,69%,2024-04-04,17:51:07
-0.033203125,27.4°C,69%,2024-04-04,17:51:23
-0.064453125,27.4°C,69%,2024-04-04,17:51:39
-0.17578125,27.4°C,69%,2024-04-04,17:51:55
-0.115234375,27.4°C,69%,2024-04-04,17:52:12
-0.015625,27.4°C,69%,2024-04-04,17:52:28
-0.080078125,27.4°C,69%,2024-04-04,17:52:44
-0.154296875,27.4°C,69%,2024-04-04,17:53:00
-0.087890625,27.4°C,69%,2024-04-04,17:53:16
-0.0078125,27.4°C,69%,2024-04-04,17:53:32
-0.078125,27.4°C,69%,2024-04-04,17:53:49
-0.140625,27.4°C,69%,2024-04-04,17:54:05
-0.05859375,27.4°C,69%,2024-04-04,17:54:21
0.00390625,27.4°C,69%,2024-04-04,17:54:37
-0.103515625,27.4°C,69%,2024-04-04,17:54:54
-0.130859375,27.4°C,69%,2024-04-04,17:55:10
-0.05859375,27.4°C,69%,2024-04-04,17:55:26
-0.0078125,27.4°C,69%,2024-04-04,17:55:42
-0.091796875,27.4°C,69%,2024-04-04,17:55:58
-0.11328125,27.4°C,69%,2024-04-04,17:56:14
-0.029296875,27.4°C,69%,2024-04-04,17:56:30
-0.00390625,27.4°C,69%,2024-04-04,17:56:46
-0.087890625,27.4°C,69%,2024-04-04,17:57:02
-0.07421875,27.4°C,69%,2024-04-04,17:57:18
0.03125,27.4°C,69%,2024-04-04,17:57:35
0.00390625,27.4°C,69%,2024-04-04,17:57:51
-0.07421875,27.4°C,69%,2024-04-04,17:58:07
-0.044921875,27.4°C,69%,2024-04-04,17:58:23
0.056640625,27.4°C,69%,2024-04-04,17:58:39
-0.0234375,27.4°C,69%,2024-04-04,17:58:56
-0.111328125,27.4°C,69%,2024-04-04,17:59:12
-0.068359375,27.4°C,69%,2024-04-04,17:59:28
0.015625,27.4°C,69%,2024-04-04,17:59:44
-0.05859375,27.4°C,69%,2024-04-04,18:00:00
-0.12890625,27.4°C,69%,2024-04-04,18:00:17
-0.064453125,27.4°C,69%,2024-04-04,18:00:33
-0.01953125,27.4°C,69%,2024-04-04,18:00:49
-0.10546875,27.4°C,69%,2024-04-04,18:01:06
-0.138671875,27.4°C,69%,2024-04-04,18:01:22
-0.0546875,27.4°C,69%,2024-04-04,18:01:38
-0.021484375,27.4°C,69%,2024-04-04,18:01:54
