Valor do sinal,Temperatura,Umidade,Hora
0.052734375,22.2°C,59%,17:49:17
-0.201171875,22.2°C,59%,17:49:33
-0.255859375,22.2°C,59%,17:49:49
0.0546875,22.2°C,59%,17:50:05
0.052734375,22.2°C,59%,17:50:22
-0.232421875,22.2°C,59%,17:50:38
-0.234375,22.2°C,59%,17:50:55
0.0625,22.2°C,59%,17:51:11
0.060546875,22.2°C,59%,17:51:27
-0.24609375,22.2°C,59%,17:51:44
-0.193359375,22.2°C,59%,17:52:00
0.0546875,22.2°C,59%,17:52:16
0.005859375,22.2°C,59%,17:52:32
-0.24609375,22.2°C,59%,17:52:49
-0.138671875,22.2°C,59%,17:53:05
0.095703125,22.2°C,59%,17:53:22
-0.001953125,22.2°C,59%,17:53:38
-0.203125,22.2°C,59%,17:53:55
-0.0625,22.2°C,59%,17:54:11
0.080078125,22.2°C,59%,17:54:27
-0.107421875,22.2°C,59%,17:54:44
-0.240234375,22.2°C,59%,17:55:00
-0.0078125,22.2°C,59%,17:55:16
0.05859375,22.2°C,59%,17:55:32
-0.17578125,22.2°C,59%,17:55:49
-0.24609375,22.2°C,59%,17:56:05
0.048828125,22.2°C,59%,17:56:22
0.06640625,22.2°C,59%,17:56:38
-0.240234375,22.2°C,59%,17:56:54
-0.234375,22.2°C,59%,17:57:11
0.044921875,22.2°C,59%,17:57:27
0.05078125,22.2°C,59%,17:57:44
-0.259765625,22.2°C,59%,17:58:00
-0.228515625,22.2°C,59%,17:58:17
0.046875,22.2°C,59%,17:58:33
-0.0078125,22.2°C,59%,17:58:50
-0.25,22.2°C,59%,17:59:06
-0.19140625,22.2°C,59%,17:59:23
0.060546875,22.2°C,59%,17:59:39
-0.078125,22.2°C,59%,17:59:55
-0.25390625,22.2°C,59%,18:00:12
-0.12890625,22.2°C,59%,18:00:28
0.037109375,22.2°C,59%,18:00:45
-0.12109375,22.2°C,59%,18:01:01
-0.26171875,22.2°C,59%,18:01:18
-0.044921875,22.2°C,59%,18:01:35
0.046875,22.2°C,59%,18:01:51
-0.19140625,22.2°C,59%,18:02:07
-0.24609375,22.2°C,59%,18:02:23
-0.00390625,22.2°C,59%,18:02:40
0.0625,22.2°C,59%,18:02:56
-0.248046875,22.2°C,59%,18:03:13
-0.251953125,22.2°C,59%,18:03:29
0.04296875,22.2°C,59%,18:03:46
0.04296875,22.2°C,59%,18:04:02
-0.25390625,22.2°C,59%,18:04:18
-0.251953125,22.2°C,59%,18:04:34
0.0546875,22.2°C,59%,18:04:51
0.0,22.2°C,59%,18:05:07
-0.25,22.2°C,59%,18:05:24
-0.20703125,22.2°C,59%,18:05:40
0.046875,22.2°C,59%,18:05:56
-0.052734375,22.2°C,59%,18:06:13
-0.26171875,22.2°C,59%,18:06:29
-0.126953125,22.2°C,59%,18:06:45
0.037109375,22.2°C,59%,18:07:02
-0.10546875,22.2°C,59%,18:07:18
-0.2578125,22.2°C,59%,18:07:34
-0.072265625,22.2°C,59%,18:07:50
0.0546875,22.2°C,59%,18:08:06
-0.185546875,22.2°C,59%,18:08:23
-0.236328125,22.2°C,59%,18:08:39
-0.009765625,22.2°C,59%,18:08:55
0.060546875,22.2°C,59%,18:09:12
-0.234375,22.2°C,59%,18:09:28
-0.251953125,22.2°C,59%,18:09:44
0.04296875,22.2°C,59%,18:10:01
0.033203125,22.2°C,59%,18:10:17
-0.251953125,22.2°C,59%,18:10:33
-0.2578125,22.2°C,59%,18:10:50
0.0390625,22.2°C,59%,18:11:06
-0.20703125,22.2°C,59%,18:11:23
-0.2578125,22.2°C,59%,18:11:39
0.041015625,22.2°C,59%,18:11:55
0.0546875,22.2°C,59%,18:12:11
-0.244140625,22.2°C,59%,18:12:27
-0.244140625,22.2°C,59%,18:12:44
0.048828125,22.2°C,59%,18:13:00
0.0546875,22.2°C,59%,18:13:16
-0.255859375,21.7°C,60%,18:13:32
-0.216796875,21.7°C,60%,18:13:49
0.05078125,21.7°C,60%,18:14:05
-0.001953125,21.7°C,60%,18:14:21
-0.2421875,21.7°C,60%,18:14:37
-0.1640625,21.7°C,60%,18:14:54
0.06640625,21.7°C,60%,18:15:10
-0.2265625,21.7°C,60%,18:15:26
0.00390625,21.7°C,60%,18:15:43
0.06640625,21.7°C,60%,18:15:59
-0.212890625,21.7°C,60%,18:16:15
-0.24609375,21.7°C,60%,18:16:32
0.060546875,21.7°C,60%,18:16:48
0.060546875,21.7°C,60%,18:17:04
-0.2265625,21.7°C,60%,18:17:21
-0.244140625,21.7°C,60%,18:17:37
0.06640625,21.7°C,60%,18:17:53
0.048828125,21.7°C,60%,18:18:10
-0.244140625,21.7°C,60%,18:18:26
-0.1953125,21.7°C,60%,18:18:42
0.044921875,21.7°C,60%,18:18:59
-0.00390625,21.7°C,60%,18:19:15
-0.25,21.7°C,60%,18:19:32
-0.142578125,21.7°C,60%,18:19:48
0.060546875,21.7°C,60%,18:20:05
-0.08203125,21.7°C,60%,18:20:21
-0.232421875,21.7°C,60%,18:20:37
-0.087890625,21.7°C,60%,18:20:53
0.072265625,21.7°C,60%,18:21:10
-0.130859375,21.7°C,60%,18:21:26
-0.24609375,21.7°C,60%,18:21:43
-0.009765625,21.7°C,60%,18:21:59
0.0546875,21.7°C,60%,18:22:15
-0.173828125,21.7°C,60%,18:22:31
-0.248046875,21.7°C,60%,18:22:48
0.0390625,21.7°C,60%,18:23:04
0.064453125,21.7°C,60%,18:23:20
-0.234375,21.7°C,60%,18:23:37
-0.23046875,21.7°C,60%,18:23:53
0.05078125,21.7°C,60%,18:24:09
0.060546875,21.7°C,60%,18:24:26
-0.25390625,21.7°C,60%,18:24:42
-0.220703125,21.7°C,60%,18:24:59
0.0625,21.7°C,60%,18:25:15
0.009765625,21.7°C,60%,18:25:31
-0.2421875,21.7°C,60%,18:25:47
-0.1953125,21.7°C,60%,18:26:04
0.056640625,21.7°C,60%,18:26:20
-0.06640625,21.7°C,60%,18:26:36
-0.25390625,21.7°C,60%,18:26:53
-0.119140625,21.7°C,60%,18:27:09
0.037109375,21.7°C,60%,18:27:26
-0.103515625,21.7°C,60%,18:27:42
-0.255859375,21.7°C,60%,18:27:58
-0.046875,21.7°C,60%,18:28:15
0.052734375,21.8°C,66%,18:28:31
-0.181640625,21.8°C,66%,18:28:47
-0.234375,21.8°C,66%,18:29:03
-0.015625,21.8°C,66%,18:29:20
0.0390625,21.8°C,66%,18:29:36
-0.26171875,21.8°C,66%,18:29:53
-0.275390625,21.8°C,66%,18:30:09
