Valor do sinal,Temperatura,Umidade,Data,Hora
-0.228515625,27.0°C,69%,2024-04-03,16:52:53
0.0078125,27.0°C,69%,2024-04-03,16:53:10
0.072265625,27.0°C,69%,2024-04-03,16:53:26
-0.2109375,27.0°C,69%,2024-04-03,16:53:42
-0.236328125,27.0°C,69%,2024-04-03,16:53:58
0.060546875,27.0°C,69%,2024-04-03,16:54:15
0.0625,27.0°C,69%,2024-04-03,16:54:31
-0.224609375,27.0°C,69%,2024-04-03,16:54:47
-0.232421875,27.0°C,69%,2024-04-03,16:55:03
0.072265625,27.0°C,69%,2024-04-03,16:55:19
0.046875,27.0°C,69%,2024-04-03,16:55:35
-0.236328125,27.0°C,69%,2024-04-03,16:55:52
-0.18359375,27.0°C,69%,2024-04-03,16:56:08
0.060546875,27.0°C,69%,2024-04-03,16:56:24
0.01171875,27.0°C,69%,2024-04-03,16:56:40
-0.240234375,27.0°C,69%,2024-04-03,16:56:56
-0.134765625,27.0°C,69%,2024-04-03,16:57:13
0.068359375,27.0°C,69%,2024-04-03,16:57:29
-0.068359375,27.0°C,69%,2024-04-03,16:57:45
-0.2265625,27.0°C,69%,2024-04-03,16:58:01
-0.0859375,27.0°C,69%,2024-04-03,16:58:17
0.068359375,27.0°C,69%,2024-04-03,16:58:34
-0.115234375,27.0°C,69%,2024-04-03,16:58:50
-0.2421875,27.0°C,69%,2024-04-03,16:59:06
-0.005859375,27.0°C,69%,2024-04-03,16:59:22
0.064453125,27.0°C,69%,2024-04-03,16:59:39
-0.16015625,27.0°C,69%,2024-04-03,16:59:55
-0.234375,27.0°C,69%,2024-04-03,17:00:11
0.037109375,27.0°C,69%,2024-04-03,17:00:28
0.07421875,27.0°C,69%,2024-04-03,17:00:44
-0.23046875,27.0°C,69%,2024-04-03,17:01:00
-0.2265625,27.0°C,69%,2024-04-03,17:01:16
0.05859375,27.0°C,69%,2024-04-03,17:01:33
0.0625,27.0°C,69%,2024-04-03,17:01:49
-0.23828125,27.0°C,69%,2024-04-03,17:02:05
-0.21484375,27.0°C,69%,2024-04-03,17:02:21
0.07421875,27.0°C,69%,2024-04-03,17:02:38
0.02734375,27.0°C,69%,2024-04-03,17:02:54
-0.224609375,27.0°C,69%,2024-04-03,17:03:10
-0.16796875,27.0°C,69%,2024-04-03,17:03:27
0.0625,27.0°C,69%,2024-04-03,17:03:43
-0.0234375,27.0°C,69%,2024-04-03,17:03:59
-0.251953125,27.0°C,69%,2024-04-03,17:04:15
-0.109375,27.0°C,69%,2024-04-03,17:04:31
0.0546875,27.0°C,69%,2024-04-03,17:04:47
-0.08203125,27.0°C,69%,2024-04-03,17:05:03
-0.234375,27.0°C,69%,2024-04-03,17:05:19
-0.0703125,27.0°C,69%,2024-04-03,17:05:36
0.072265625,27.0°C,69%,2024-04-03,17:05:52
-0.15234375,27.0°C,69%,2024-04-03,17:06:08
-0.236328125,27.0°C,69%,2024-04-03,17:06:24
-0.00390625,27.0°C,69%,2024-04-03,17:06:40
0.05859375,27.0°C,69%,2024-04-03,17:06:56
-0.19140625,27.0°C,69%,2024-04-03,17:07:13
-0.25390625,27.0°C,69%,2024-04-03,17:07:29
0.052734375,27.0°C,69%,2024-04-03,17:07:45
0.060546875,27.0°C,69%,2024-04-03,17:08:01
-0.236328125,27.0°C,69%,2024-04-03,17:08:18
-0.232421875,27.0°C,69%,2024-04-03,17:08:34
0.068359375,27.0°C,69%,2024-04-03,17:08:50
0.0703125,27.0°C,69%,2024-04-03,17:09:06
-0.23828125,27.0°C,69%,2024-04-03,17:09:23
-0.185546875,27.0°C,69%,2024-04-03,17:09:39
0.07421875,27.0°C,69%,2024-04-03,17:09:55
0.03125,27.0°C,69%,2024-04-03,17:10:11
-0.216796875,27.0°C,69%,2024-04-03,17:10:27
-0.13671875,27.0°C,69%,2024-04-03,17:10:44
0.078125,27.0°C,69%,2024-04-03,17:11:00
-0.0390625,27.0°C,69%,2024-04-03,17:11:16
-0.23046875,27.0°C,69%,2024-04-03,17:11:32
-0.083984375,27.0°C,69%,2024-04-03,17:11:49
0.064453125,27.0°C,69%,2024-04-03,17:12:05
-0.080078125,27.0°C,69%,2024-04-03,17:12:21
-0.244140625,27.0°C,69%,2024-04-03,17:12:37
-0.033203125,27.0°C,69%,2024-04-03,17:12:53
0.06640625,27.0°C,69%,2024-04-03,17:13:09
-0.1640625,27.0°C,69%,2024-04-03,17:13:26
-0.23046875,27.0°C,69%,2024-04-03,17:13:42
0.005859375,27.0°C,69%,2024-04-03,17:13:58
0.0703125,27.0°C,69%,2024-04-03,17:14:14
-0.216796875,27.0°C,69%,2024-04-03,17:14:30
-0.2421875,27.0°C,69%,2024-04-03,17:14:46
0.06640625,27.0°C,69%,2024-04-03,17:15:03
0.05859375,27.0°C,69%,2024-04-03,17:15:19
-0.224609375,27.0°C,69%,2024-04-03,17:15:35
-0.234375,27.0°C,69%,2024-04-03,17:15:52
0.068359375,27.0°C,69%,2024-04-03,17:16:08
0.05078125,27.0°C,69%,2024-04-03,17:16:24
-0.24609375,27.0°C,69%,2024-04-03,17:16:41
-0.19140625,27.0°C,69%,2024-04-03,17:16:57
0.0625,27.0°C,69%,2024-04-03,17:17:13
0.013671875,27.0°C,69%,2024-04-03,17:17:29
-0.240234375,27.0°C,69%,2024-04-03,17:17:45
-0.142578125,27.0°C,69%,2024-04-03,17:18:01
0.07421875,27.0°C,69%,2024-04-03,17:18:18
-0.0625,27.0°C,69%,2024-04-03,17:18:34
-0.228515625,27.0°C,69%,2024-04-03,17:18:50
-0.087890625,27.0°C,69%,2024-04-03,17:19:06
0.064453125,27.0°C,69%,2024-04-03,17:19:22
-0.109375,27.0°C,69%,2024-04-03,17:19:39
-0.25,27.0°C,69%,2024-04-03,17:19:55
-0.01171875,27.0°C,69%,2024-04-03,17:20:11
0.060546875,27.0°C,69%,2024-04-03,17:20:27
-0.1640625,27.0°C,69%,2024-04-03,17:20:44
-0.232421875,27.0°C,69%,2024-04-03,17:21:00
0.02734375,27.0°C,69%,2024-04-03,17:21:16
0.076171875,27.0°C,69%,2024-04-03,17:21:32
-0.224609375,27.0°C,69%,2024-04-03,17:21:48
-0.228515625,27.0°C,69%,2024-04-03,17:22:04
0.064453125,27.0°C,69%,2024-04-03,17:22:21
0.056640625,27.0°C,69%,2024-04-03,17:22:37
-0.234375,27.0°C,69%,2024-04-03,17:22:53
-0.0078125,27.0°C,69%,2024-04-03,17:23:10
0.046875,27.0°C,69%,2024-04-03,17:23:26
-0.185546875,27.0°C,69%,2024-04-03,17:23:42
-0.25390625,27.0°C,69%,2024-04-03,17:23:58
0.041015625,27.0°C,69%,2024-04-03,17:24:14
0.05859375,27.0°C,69%,2024-04-03,17:24:31
-0.2421875,27.0°C,69%,2024-04-03,17:24:47
-0.232421875,27.0°C,69%,2024-04-03,17:25:03
0.0546875,26.9°C,72%,2024-04-03,17:25:19
0.060546875,26.9°C,72%,2024-04-03,17:25:35
-0.24609375,26.9°C,72%,2024-04-03,17:25:52
-0.21875,26.9°C,72%,2024-04-03,17:26:08
0.064453125,26.9°C,72%,2024-04-03,17:26:24
0.025390625,26.9°C,72%,2024-04-03,17:26:40
-0.21875,26.9°C,72%,2024-04-03,17:26:56
-0.171875,26.9°C,72%,2024-04-03,17:27:12
0.07421875,26.9°C,72%,2024-04-03,17:27:29
-0.025390625,26.9°C,72%,2024-04-03,17:27:45
-0.2265625,26.9°C,72%,2024-04-03,17:28:01
-0.076171875,26.9°C,72%,2024-04-03,17:28:17
0.07421875,26.9°C,72%,2024-04-03,17:28:34
-0.0625,26.9°C,72%,2024-04-03,17:28:50
-0.23828125,26.9°C,72%,2024-04-03,17:29:06
-0.046875,26.9°C,72%,2024-04-03,17:29:22
0.0703125,26.9°C,72%,2024-04-03,17:29:38
-0.16015625,26.9°C,72%,2024-04-03,17:29:55
-0.23046875,26.9°C,72%,2024-04-03,17:30:11
-0.001953125,26.9°C,72%,2024-04-03,17:30:27
0.060546875,26.9°C,72%,2024-04-03,17:30:43
-0.203125,26.9°C,72%,2024-04-03,17:31:00
-0.251953125,26.9°C,72%,2024-04-03,17:31:16
0.0546875,26.9°C,72%,2024-04-03,17:31:32
0.056640625,26.9°C,72%,2024-04-03,17:31:49
-0.232421875,26.9°C,72%,2024-04-03,17:32:05
-0.23828125,26.9°C,72%,2024-04-03,17:32:21
0.060546875,26.9°C,72%,2024-04-03,17:32:37
0.0546875,26.9°C,72%,2024-04-03,17:32:54
-0.25390625,26.9°C,72%,2024-04-03,17:33:10
-0.20703125,26.9°C,72%,2024-04-03,17:33:26
0.052734375,26.9°C,72%,2024-04-03,17:33:43
0.005859375,26.9°C,72%,2024-04-03,17:33:59
-0.240234375,26.9°C,72%,2024-04-03,17:34:15
