Valor do sinal,Temperatura,Umidade,Hora
-0.20703125,26.8°C,73%,17:18:42
0.046875,26.8°C,73%,17:18:58
-0.072265625,26.8°C,73%,17:19:14
-0.259765625,26.8°C,73%,17:19:30
-0.1328125,26.8°C,73%,17:19:46
0.029296875,26.8°C,73%,17:20:03
-0.126953125,26.8°C,73%,17:20:19
-0.267578125,26.8°C,73%,17:20:35
-0.078125,26.8°C,73%,17:20:51
0.0390625,26.8°C,73%,17:21:07
-0.205078125,26.8°C,73%,17:21:23
-0.26953125,26.8°C,73%,17:21:40
-0.037109375,26.8°C,73%,17:21:56
0.037109375,26.8°C,73%,17:22:12
-0.25390625,26.8°C,73%,17:22:28
-0.267578125,26.8°C,73%,17:22:44
0.021484375,26.8°C,73%,17:23:01
0.025390625,26.8°C,73%,17:23:17
-0.263671875,26.8°C,73%,17:23:33
-0.259765625,26.8°C,73%,17:23:49
0.05078125,26.8°C,73%,17:24:05
0.013671875,26.8°C,73%,17:24:21
-0.26171875,26.8°C,73%,17:24:38
-0.220703125,26.8°C,73%,17:24:55
0.044921875,26.8°C,73%,17:25:11
-0.005859375,26.8°C,73%,17:25:27
-0.248046875,26.8°C,73%,17:25:43
-0.103515625,26.8°C,73%,17:26:00
0.08203125,26.8°C,73%,17:26:16
-0.044921875,26.8°C,73%,17:26:32
-0.216796875,26.8°C,73%,17:26:50
-0.041015625,26.8°C,73%,17:27:06
0.083984375,26.8°C,73%,17:27:22
-0.1171875,26.8°C,73%,17:27:38
-0.22265625,26.8°C,73%,17:27:54
0.017578125,26.8°C,73%,17:28:10
0.072265625,26.8°C,73%,17:28:26
-0.177734375,26.8°C,73%,17:28:42
-0.236328125,26.8°C,73%,17:28:59
0.0625,26.8°C,73%,17:29:15
0.064453125,26.8°C,73%,17:29:31
-0.240234375,26.8°C,73%,17:29:47
-0.2421875,26.8°C,73%,17:30:03
0.048828125,26.8°C,73%,17:30:19
0.046875,26.8°C,73%,17:30:35
-0.259765625,26.8°C,73%,17:30:52
-0.22265625,26.8°C,73%,17:31:08
0.04296875,26.8°C,73%,17:31:24
-0.259765625,26.8°C,73%,17:31:40
-0.26171875,26.8°C,73%,17:31:56
0.03125,26.8°C,73%,17:32:12
0.03515625,26.8°C,73%,17:32:28
-0.265625,26.8°C,73%,17:32:45
-0.25,26.8°C,73%,17:33:01
0.048828125,26.8°C,73%,17:33:17
-0.01171875,26.8°C,73%,17:33:33
-0.263671875,26.8°C,73%,17:33:50
-0.21484375,26.8°C,73%,17:34:06
0.044921875,26.8°C,73%,17:34:22
-0.0703125,26.8°C,73%,17:34:38
-0.265625,26.8°C,73%,17:34:54
-0.142578125,26.8°C,73%,17:35:10
0.029296875,26.8°C,73%,17:35:26
-0.12890625,26.8°C,73%,17:35:42
-0.267578125,26.8°C,73%,17:35:59
-0.0859375,26.8°C,73%,17:36:15
0.041015625,26.8°C,73%,17:36:31
-0.201171875,26.8°C,73%,17:36:47
-0.26953125,26.8°C,73%,17:37:03
-0.03515625,26.8°C,73%,17:37:20
0.0390625,26.8°C,73%,17:37:36
-0.25390625,26.8°C,73%,17:37:52
-0.271484375,26.8°C,73%,17:38:08
0.015625,26.8°C,73%,17:38:24
0.01953125,26.8°C,73%,17:38:41
-0.275390625,26.8°C,73%,17:38:57
-0.2734375,26.8°C,73%,17:39:13
0.037109375,26.8°C,73%,17:39:29
-0.015625,26.8°C,73%,17:39:46
-0.279296875,26.8°C,73%,17:40:02
-0.24609375,26.8°C,73%,17:40:18
0.0234375,26.8°C,73%,17:40:34
-0.0625,26.8°C,73%,17:40:51
-0.271484375,26.8°C,73%,17:41:07
-0.169921875,26.8°C,73%,17:41:23
0.025390625,26.8°C,73%,17:41:39
-0.12890625,26.8°C,73%,17:41:55
-0.27734375,26.8°C,73%,17:42:12
-0.1171875,26.8°C,73%,17:42:28
0.0390625,26.8°C,73%,17:42:44
-0.193359375,26.8°C,73%,17:43:00
-0.271484375,26.8°C,73%,17:43:16
-0.046875,26.8°C,73%,17:43:32
0.029296875,26.8°C,73%,17:43:49
-0.236328125,26.8°C,73%,17:44:05
-0.26953125,26.8°C,73%,17:44:21
